college_name,season,confirmed_division,data_confidence,total_graduating_seniors,player_name,player_position,player_minutes_played,official_roster_url,notes
Army,2025,NCAA Division I,medium,14,Owen Ennis,DEFENSE,878,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Eric Lusskin,MIDFIELD,541,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Kelly Cooper,DEFENSE,1615,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Colin Mccarthy,MIDFIELD,92,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Riley Cullum,MIDFIELD,783,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Jack Drabenstott,FORWARD,41,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Jubril Bamgbala,FORWARD,1083,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Owen Mejia,DEFENSE,5,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Jacob Lee,FORWARD,301,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Niko Kapustin,DEFENSE,28,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Jack Meyer,MIDFIELD,1204,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Daniel Gormley,DEFENSE,10,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Sean Adugyamfi,MIDFIELD,648,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Army,2025,NCAA Division I,medium,14,Keanu Likewise,GOALKEEPER,0,https://goarmywestpoint.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field; not found in stats table (likely did not appear in any games)
Belmont,2025,NCAA Division I,high,7,Grant Calvert,GOALKEEPER,1517,https://belmontbruins.com/sports/mens-soccer/roster/2025,95% confidence — GK minutes confirmed via official stats PDF; name cross-referenced
Belmont,2025,NCAA Division I,medium,7,Parker Forbes,DEFENSE,1428,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Belmont,2025,NCAA Division I,medium,7,Riley Clothier,DEFENSE,1506,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Belmont,2025,NCAA Division I,medium,7,Brad Dildy,MIDFIELD,1293,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Belmont,2025,NCAA Division I,medium,7,Jimiyu Mark,FORWARD,1061,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Belmont,2025,NCAA Division I,medium,7,Dylan Steely,DEFENSE,983,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Belmont,2025,NCAA Division I,medium,7,Oscar Hough,MIDFIELD,579,https://belmontbruins.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,high,17,Jack Root,GOALKEEPER,630,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,95% confidence — GK minutes confirmed via official stats PDF; name cross-referenced
Binghamton,2025,NCAA Division I,medium,17,Ramsey Tilgner,DEFENSE,163,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Rio Onwumere,DEFENSE,993,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Luke Yates,DEFENSE,1043,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Saar Almoznino,DEFENSE,850,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Simon Knuewe,MIDFIELD,1464,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Jamie Howell,FORWARD,612,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Itai Levisman,MIDFIELD,0,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field; not found in stats table (likely did not appear in any games)
Binghamton,2025,NCAA Division I,medium,17,Tom Cohen,MIDFIELD,0,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field; not found in stats table (likely did not appear in any games)
Binghamton,2025,NCAA Division I,medium,17,Calvin Moe,MIDFIELD,1491,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Alex Balkey,MIDFIELD,1232,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Anthony Randazzo,FORWARD,757,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field
Binghamton,2025,NCAA Division I,medium,17,Lucas Constante,FORWARD,0,https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,85% confidence — Standard Sidearm CMS; class from academic_year_long JSON field; not found in stats table (likely did not appear in any games)
