college_name,season,confirmed_division,data_confidence,total_graduating_seniors,player_name,player_position,player_minutes_played,official_roster_url,notes
Adrian,2025-26,D3,85%,3,Owen Emert,Midfielder,667,https://adrianbulldogs.com/sports/mens-soccer/roster,Senior
Adrian,2025-26,D3,85%,3,Kyle Jennings,Forward,1108,https://adrianbulldogs.com/sports/mens-soccer/roster,Senior
Adrian,2025-26,D3,85%,3,Nicholas Kiafoulis,Midfielder,783,https://adrianbulldogs.com/sports/mens-soccer/roster,Senior
Albertus Magnus,2025-26,D3,85%,6,David Lucero,Goalkeeper,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Senior
Albertus Magnus,2025-26,D3,85%,6,Joao Oliveira,Defender,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Senior
Albertus Magnus,2025-26,D3,85%,6,Alexander Teixeira,Defender,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Graduate Student
Albertus Magnus,2025-26,D3,85%,6,Aiden Coelho,F/M,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Senior
Albertus Magnus,2025-26,D3,85%,6,Bennett Walsh,Midfielder,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Graduate Student
Albertus Magnus,2025-26,D3,85%,6,Donaldo Yanez,Midfielder,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,Senior
Albion,2025-26,D3,85%,7,Jake Ellsworth,Goalkeeper,8,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Colin Koscinski,Defender,43,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Lucas Anderson,Defender,1399,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Benjamin Schlaff,Defender,23,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Lucas Medina,Defender,888,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Jasek Zielaskowski,Forward,1117,https://gobrits.com/sports/mens-soccer/roster,Senior
Albion,2025-26,D3,85%,7,Xavier Yuille,Forward,822,https://gobrits.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Myles Mitchell,Defender,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Christopher Estrada,Defender,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Martin Ramsay,Forward,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Curren Shesniak,Midfielder,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Daniel Lowman,Forward,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Albright,2025-26,D3,85%,6,Erick Tacuri,Defender,,https://albrightathletics.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Tyler Mulholland,Goalkeeper,1327,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Jesus De La Torre,Defender,1205,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Xavier Bowman,Forward,1170,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Juan Jose Menendez Gutierrez,Midfielder,930,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Peter Kim-Rivera,Midfielder,20,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Landon Berry,Midfielder,300,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Josh Palmgreen,Defender,53,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred State,2025-26,D3,85%,8,Daniel González Sevilla,Goalkeeper,,https://gosaxons.com/sports/mens-soccer/roster,Senior
Alfred University,2025-26,D3,85%,8,Tyler Mulholland,Goalkeeper,1327,https://gosaxons.com/sports/mens-soccer/roster,Senior
